gene	21373_7_39	21373_7_68	21373_7_72	21373_7_104	21373_7_127	21373_7_141	21373_7_156	21373_7_179	21373_7_206	21373_7_229	21373_7_242	21373_7_260	21373_7_283	21373_7_292	21373_7_298	21373_7_306	21373_7_321	21373_7_329	21373_7_348	21373_7_371
ENSMMUG00000022668	0	0	16.01	14.01	0	50.01	0	0	0	0	25.01	0	0	0	0	0	0	0	0	0
ENSMMUG00000003056	17.0665	24.2839	8.01	23.01	31.01	15.4145	46.8162	5.01552	33.0864	16.029	6.01	26.01	35.481	68.1539	50.906	46.3752	9.01847	27.1039	24.01	13.1703
ENSMMUG00000009383	0	44.02	1.01	0	0	0	0	0	88.02	63.02	0	0	0	0	10.02	0	29.01	0	0	0
ENSMMUG00000032263	0	9.74182	0	0	0	0	0	1.76926	0	0	1.01209	1.20493	5.09933	0	5.03798	1.22579	6.76585	0	0	1.09472
ENSMMUG00000020012	48.01	70.01	20.01	58.01	40.01	0	12.01	82.01	5.01	0	46.01	51.01	0	153.01	77.01	13.01	84.3153	0	6.01	63.01
ENSMMUG00000013132	0	0	1.01	0	0	0	0	0	2.12132	0	0	0	0	0	0	11.9785	0	0	0	0
ENSMMUG00000029806	2.83428	0	0	2.45833	0	1.05088	3.2974	0	3.12343	2.28818	8.02148	0	0	2.61186	1.06599	0	9.01	3.37441	11.0683	1.02186
ENSMMUG00000003024	0	0	5.05143	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	38.01
ENSMMUG00000029236	2.68999	0	0	0	0	0	0	0	0	2.08626	0	0	0	2.01	0	1.09269	0	1.01	1.39638	0
ENSMMUG00000009589	0	76.01	7.01	15.01	0	0	15.01	47.01	0	0	0	28.01	0	0	0	0	0	0	35.0199	0
ENSMMUG00000004417	65.01	22.01	47.01	331.01	196.758	28.01	75.01	60.01	79.01	182.01	30.01	44.01	284.01	126.01	112.01	171.11	277.01	723.01	27.01	68.01
ENSMMUG00000005384	21.01	0	22.01	0	0	3.01	5.01	41.2393	38.01	33.01	21.01	20.01	159.025	0	102.01	57.01	23.01	39.726	32.01	65.01
