gene	21373_7_20	21373_7_37	21373_7_60	21373_7_102	21373_7_106	21373_7_139	21373_7_152	21373_7_160	21373_7_166	21373_7_169	21373_7_175	21373_7_183	21373_7_202	21373_7_204	21373_7_216	21373_7_221	21373_7_225	21373_7_239	21373_7_254	21373_7_262	21373_7_271	21373_7_279	21373_7_304	21373_7_317	21373_7_327	21373_7_340	21373_7_346	21373_7_354	21373_7_358	21373_7_369	21373_7_377	21373_7_381
ENSMMUG00000013785	0	0	8.01	8.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	0	19.01	0
ENSMMUG00000012254	0	0	0	0	0	0	0	2.01	0	3.01	0	0	0	3.01	12.01	0	77.01	11.4163	0	0	46.01	0	36.0242	0	0	1.01	16.01	0	0	0	0	0
ENSMMUG00000004488	0	2.12467	3.02749	3.07751	17.0522	7.30771	10.2878	4.07535	5.8932	1.13115	5.07028	12.7372	1.02184	0	0	10.7605	7.53781	7.89719	4.21639	4.01286	0	6.20304	12.161	7.75648	4.28606	2.02266	5.88919	5.36133	10.2684	4.76466	1.01	3.01
ENSMMUG00000031105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000007410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031548	0	0	0	0	0	0	0	0	0	0	0	0	2.0466	0	0	0	0	0	0	0	0	0	0	0	2.8013	0	0	1.78887	0	0	0	0
ENSMMUG00000001851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000030491	0	13.511	0	37.2043	0	0	0	0	0	0	0	0	0	2.37084	0	25.2323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.01	21.01	0	0	0	0	0	6.01	0	11.01	0
ENSMMUG00000017707	3.0451	3.01487	7.45336	2.04262	3.03797	4.01379	1.08584	6.2087	2.63638	1.01548	7.52546	5.20257	2.03128	5.56894	1.01926	5.28766	12.1165	1.01673	9.17263	0	17.3719	3.44268	3.03467	2.01	1.02499	13.975	6.60674	8.54224	3.20442	0	2.03563	2.01406
