gene	21373_7_6	21373_7_10	21373_7_33	21373_7_35	21373_7_41	21373_7_52	21373_7_56	21373_7_58	21373_7_62	21373_7_75	21373_7_79	21373_7_112	21373_7_135	21373_7_148	21373_7_162	21373_7_173	21373_7_185	21373_7_212	21373_7_214	21373_7_235	21373_7_244	21373_7_258	21373_7_269	21373_7_273	21373_7_281	21373_7_287	21373_7_338	21373_7_352	21373_7_375
ENSMMUG00000017928	479.822	633.846	2461.58	804.734	1163.76	753.56	1869.6	2496.74	1012.01	628.016	1884.02	3226.24	1096.17	217.541	1645.69	885.02	730.331	2434.41	1100.9	2382.04	523.538	2476.79	2500.56	2381.7	1015.11	545.684	1357.02	3418.16	1902.73
ENSMMUG00000020663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000015492	0	0	0	0	0	0	3.01	0	1.01	16.01	19.01	6.01	29.01	0	13.01	12.01	0	14.01	2.01	46.01	0	10.01	0	26.01	0	0	8.01	0	0
ENSMMUG00000006066	0	0	0	0	0	0	22.01	14.01	132.01	0	0	23.01	0	0	0	0	0	0	8.01	0	0	0	0	38.01	0	0	0	0	0
ENSMMUG00000007209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.01	0	0	0	0	0	0	0
ENSMMUG00000029691	12.4894	1.49849	0	29.3337	1.47617	16.7323	5.45998	1.08705	123.911	16.9169	23.133	6.24251	60.7937	68.5638	16.4844	8.20103	18.4973	14.6987	1.14535	33.2026	3.62405	58.2892	497.233	13.6291	46.6654	147.88	3.18531	2.82657	74.841
ENSMMUG00000003566	0	0	0	13.01	0	0	0	0	0	0	11.01	0	1.01043	0	47.01	0	0	27.01	0	0	0	0	0	52.01	0	0	0	84.01	0
ENSMMUG00000020575	10.01	0	1.01	0	1.01	2.01	0	0	15.01	0	4.01	19.02	16.01	0	0	0	0	16.01	4.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000014599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000018924	1.01	0	0	0	0	0	0	0	155.054	0	0	0	0	0	0	0	1.01	0	0	62.01	0	0	0	37.01	0	0	0	1.01141	0
ENSMMUG00000031956	0	12.01	0	21.01	0	3.01	0	0	0	0	0	0	11.4991	0	0	4.01	0	0	0	0	0	0	0	2.01	1.01	9.73062	0	2.54319	0
ENSMMUG00000017492	7.01	0	9.01	204.01	17.01	6.01	0	90.01	125.01	0	129.01	44.01	0	1.01	38.01	9.01	0	0	5.01	344.01	0	49.01	0	192.01	0	213.125	114.01	361.01	118.01
ERCC-00069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0
ENSMMUG00000001931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	1.01	0
ENSMMUG00000002102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003444	1772.01	1995.01	5985.99	2057.95	2916.82	2238.95	5745.61	3920.89	4538.24	1385.01	4335.73	6189.82	6131.8	951.772	3394.55	3642.6	2719.11	4211.7	1889.97	5452.06	1471.69	4926.82	10112.6	7184.22	2728.02	5298.72	2673.99	4682.29	8691.76
ENSMMUG00000016021	3.01	0	67.01	0	8.01	3.01	9.01	38.01	46.01	29.01	99.1164	95.01	0	0	29.01	0	0	58.01	20.01	17.01	0	0	0	153.353	0	6.61913	26.01	96.01	0
ENSMMUG00000031334	0	0	0	0	1.89369	13.2888	12.9996	5.33232	0	24.1504	0	21.3592	1.09884	4.9796	0	0	0	1.01	5.57249	10.5759	0	3.35591	1.15717	1.18405	1.01012	0	0	1.048	1.17479
ENSMMUG00000001366	0	0	0	0	2.01	0	0	4.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000013520	11.01	0	0	0	21.01	2.01	8.01	24.01	0	0	34.1829	78.02	137.02	45.0923	17.01	103.01	2.01	64.02	19.02	195.03	0	0	37.01	234.01	106.02	0	120.02	65.01	0
