gene	21373_1_7	21373_1_22	21373_1_46	21373_1_73	21373_1_74	21373_1_99	21373_1_107	21373_1_114	21373_1_123	21373_1_124	21373_1_131	21373_1_137	21373_1_138	21373_1_153	21373_1_177	21373_1_178	21373_1_181	21373_1_188	21373_1_192	21373_1_195	21373_1_207	21373_1_208	21373_1_234	21373_1_275	21373_1_276	21373_1_295	21373_1_334	21373_1_341	21373_1_360	21373_1_365
ENSMUSG00000042190	0	4.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025915	0	3.02367	3.1214	7.29554	11.0836	0	64.104	0	1.01	1.01034	6.53009	1.03401	62.02	3.01	82.382	6.60484	0	0	158.056	43.02	0	0	0	6.04209	1.01	0	0	0	4.74125	0
ENSMUSG00000073406	0	0	9.79745	6.93527	12.5371	0	0	0	0	3.89898	2.14674	1.01886	0	0	2.05933	0	0	0	0	0	0	1.26878	0	0	0	1.25338	0	0	0	0
ENSMUSG00000024590	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.01	0	0
ENSMUSG00000018239	0	0	0	0	0	0	0	0	0	0	0	3.01	0	30.01	0	12.01	0	0	0	0	1.01	0	8.01	4.01445	0	0	99.01	11.01	70.01	0
ENSMUSG00000040249	0	18.02	526.116	0	9.01	14.0201	87.01	48.02	358.082	242.02	1.01	106.144	0	25.02	0	147.037	0	42.0224	60.013	65.0212	0	101.02	1.01319	298.801	0	0	3.01	62.0402	31.1352	62.02
ENSMUSG00000058454	0	0	0	4.55066	7.01	58.01	0	0	0	0	1.01	81.01	41.54	3.25389	0	9.31751	0	0	0	1.01	0	0	182.03	77.01	0	0	0	32.01	0	2.01
ENSMUSG00000060467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23505	0	1.07799	0	0	0	1.05984	0	1.0496	0	0	0	0	0
ENSMUSG00000023072	16.01	19.01	9.6311	20.0543	4.63869	0	0	0	0	0	20.9712	0	0	0	7.70672	38.8864	11.2497	0	0	0	2.01	2.48031	0	1.42773	2.77244	1.13136	152.974	1.01	32.02	4.01
ENSMUSG00000071649	0	0	0	0	0	0	0	0	0	0	0	9.01	0	12.0384	0	0	0	0	0	0	0	3.02085	1.01	0	0	0	0	0	71.01	0
ENSMUSG00000091028	0	0	0	0	1.09918	1.61988	0	0	0	2.43209	1.01	77.4296	2.67483	0	375.361	0	0	42.8675	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029333	1.01	0	0	0	0	0	0	0	0	0	75.0497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336.497	0	12.0107	0	0
ENSMUSG00000050957	0	0	0	133.01	0	0	0	0	0	0	0	0	0	0	0	15.01	0	0	0	0	0	13.01	0	0	85.01	0	0	0	0	0
ENSMUSG00000026347	0	0	0	1.08198	5.54313	0	0	0	0	0	1.01565	3.85874	0	0	0	0	0	0	0	0	0	0	0	1.05286	0	0	0	0	0	0
ENSMUSG00000039252	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25485	0	0	0	1.01	5.01	0
ENSMUSG00000045441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.01	0	0	0	0
ENSMUSG00000057092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051236	5.01	0	0	3.12613	104.765	0	0	0	225.026	92.4473	3.76847	58.2313	0	0	1.01	91.0082	0	1.01	0	44.01	54.9887	1.01	105.034	0	0	0	0	8.293	0	15.01
ENSMUSG00000091742	0	0	0	0	0	0	0	0	0	0	0	1.02316	0	0	0	1.02683	1.01614	0	0	0	0	0	0	1.01534	0	0	0	0	0	0
ENSMUSG00000022629	0	0	0	0	0	0	0	0	0	0	0	0	0	24.02	0	0	0	0	0	0	0	19.01	0	0	1.02	90.03	0	4.01	0	0
ENSMUSG00000022367	20.01	0	84.3987	460.518	0	0	0	0	0	45.01	219.965	1.01111	0	9.01125	479.696	0	826.551	0	0	0	0	21.01	0	65.0289	0	3.01	0	58.0372	2.01	0
ENSMUSG00000021555	1.01	73.02	0	0	0	2.01	0	0	378.125	267.01	1.01	167.02	1.01	66.02	0	18.01	0	0	0	38.01	22.01	12.03	0	135.157	26.02	1.01	0	0	0	0
ENSMUSG00000107235	71.51	268.906	0.51	1.51	12.01	133.654	97.51	35.01	541.02	175.58	0.51	368.081	0	86.3528	1.01	310.052	1018.51	2.01	448.529	75.01	33.01	27.51	529.979	346.088	1.01	0	1.51	192.01	10.51	50.1247
ENSMUSG00000041886	0	0	0	20.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001552	0	2.01	0	0	1.18095	1.12413	0	0	0	0	1.25849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	5.01	0	0
ENSMUSG00000047187	28.01	110.744	4.01	2.01	0	57.1647	109.123	34.0197	658.143	265.01	1.01	492.603	0	82.4228	1.01	301.415	1.01	293.201	365.611	177.887	124.132	47.01	1173.09	177.193	4.01	20.01	1.01	75.01	189.01	77.01
ENSMUSG00000000402	0	0	0	0	0	0	0	0	0	0	0	0	2.02759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0
ENSMUSG00000021207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027985	0	1.16562	1.01	5.01526	2.03383	5.55913	0	0	6.01	0	1.01449	0	4.62068	6.01	1.14761	0	0	6.01631	0	5.01	0	0	0	0	7.9606	0	0	0	0	0
ENSMUSG00000027177	39.01	0	392.173	92.01	0	0	0	0	0	23.01	131.017	87.02	0	0	1.01003	5.01	0	240.109	0	0	2.01	0	0	173.01	0	0	1.01	1.01	0	2.01
ENSMUSG00000073551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071074	24.01	40.0401	0	0	0	0	0	0	0	0	0	64.01	0	18.01	0	0	0	0	96.104	15.02	14.01	3.01	0	48.02	0	0	0	19.01	0	48.02
ENSMUSG00000035898	3.01	0	0	15.0144	0	1.01	10.0273	0	0	203.07	79.02	59.02	0	16.02	0	70.5093	0	0	10.01	0	36.0373	67.02	84.6333	4.07216	0	90.03	3.01	16.02	0	28.01
ENSMUSG00000070687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028114	0	0	39.7875	0	2.17146	0	0	0	0	2.15795	0	13.7616	0	0	102.001	23.02	0	0	0	0	0	0	0	0	4.01	0	0	0	18.01	0
ENSMUSG00000026803	0	0	3.06686	2.05526	1.02616	0	72.01	0	0	6.18116	30.9269	38.0812	2.07001	22.5191	19.8276	2.03124	1.05132	9.2128	0	0	11.011	0	0	257.125	0	10.1919	3.30215	16.1137	0	0
ENSMUSG00000043131	11.01	43.4315	0	0	4.01	1.01	88.01	1.01	260.01	217.02	0	360.293	0	7.01	1.01	47.0288	979.005	9.01475	0	53.043	76.01	0	0	348.01	601.01	37.01	0	26.3111	0	77.01
ENSMUSG00000074203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026141	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	5.01	0	0	0	0	0	0	0	0	0	2.01	0	0	0	0	0
ENSMUSG00000068744	85.2668	124.209	0	3.24977	172.137	38.2176	0	0	0	657.893	0	74.747	0	0	0	1.01	0	0	1.01	0	0	32.02	0	339.853	0	1.01	0	32.05	0	0
ENSMUSG00000027367	0	103.093	6.04471	0	0	12.01	0	0	0	0	0	9.01907	3.05942	0	1.01	0	0	0	0	0	0	10.0472	0	103.01	0	0	0	32.02	0	0
ENSMUSG00000000861	0	0	127.898	28.2043	0	0	4.01	0	0	0	3.01004	0	0	0	0	4.01	0	0	0	4.01	0	11.1532	0	4.0202	1.01	0	0	12.01	12.0122	0
ENSMUSG00000078621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072235	139.494	777.146	2.01002	21.1521	84.2544	729.473	430.241	184.211	3.1771	1071.16	646.902	797.528	596.153	213.685	6.67057	2704.32	8324.33	7.8722	30.2973	198.052	247.083	93.8158	3087.87	859.735	10.8687	3.53988	23.2912	441.756	1.01	956.251
ENSMUSG00000026879	53.03	563.02	2.01	8.01	1.01	79.02	401.02	233.02	177.01	894.388	4.01	361.562	3.01	0	0	227.646	777.02	1.01	649.16	167.01	56.7898	24.01	1010.19	61.2525	2.01	4.01017	5.01	211.01	0	93.01
ENSMUSG00000039901	0	0	0	0	0	0	0	0	0	0	0	0	0	5.01	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01	0	0
ENSMUSG00000041638	0	2.01	73.02	1.01	12.5578	1.07661	7.02	1.01	0	0	11.8355	1.0101	3.24778	0	499.359	39.0299	2.04292	95.01	0	4.01	0	29.01	373.16	133.957	0	39.6543	14.0004	13.02	7.01	1.01039
