gene	21373_3_7	21373_3_8	21373_3_21	21373_3_31	21373_3_32	21373_3_50	21373_3_63	21373_3_64	21373_3_99	21373_3_113	21373_3_124	21373_3_131	21373_3_137	21373_3_138	21373_3_154	21373_3_158	21373_3_163	21373_3_167	21373_3_178	21373_3_188	21373_3_191	21373_3_192	21373_3_195	21373_3_208	21373_3_210	21373_3_219	21373_3_231	21373_3_233	21373_3_252	21373_3_275	21373_3_276	21373_3_295	21373_3_302	21373_3_310	21373_3_319	21373_3_326	21373_3_333	21373_3_341	21373_3_342	21373_3_360
ENSRNOG00000022565	4.08886	6.39828	2.90315	1.01175	0	4.1477	6.10079	5.02155	3.08859	8.57877	2.12303	3.25248	21.1581	1.06104	6.14971	3.37661	5.92957	12.1915	0	1.01317	3.45613	1.20033	9.2031	4.06778	6.28835	11.2541	14.2611	24.6226	4.1302	6.08594	2.1489	2.31029	10.4556	2.01525	12.315	0	13.5651	15.8932	0	4.40173
ENSRNOG00000020729	0	0	0	148.01	38.01	0	0	0	0	0	24.01	0	138.01	0	0	0	0	0	0	5.01	0	0	0	0	0	1.01	1.01	0	1.01	0	128.01	7.01	122.01	28.01	235.01	0	0	0	0	0
ENSRNOG00000010849	144.01	242.01	0	0	67.01	0	237.01	0	184.01	14.01	1.01	0	0	44.01	24.01	0	0	0	0	34.01	0	0	1.01	219.01	0	0	266.01	7.01708	1.01	554.01	0	124.189	0	0	1.01	0	2.01	1.01016	99.01	321.397
ENSRNOG00000047565	1.01	86.01	0	42.01	0	0	1.01	0	114.01	0	21.1238	60.01	49.01	0	183.401	124.01	1.01	0	27.01	5.01	0	0	148.01	0	43.01	0	0	0	1.01	10.01	0	0	0	0	1.01	31.01	2.01	0	122.01	96.01
ENSRNOG00000015439	169.01	0	147.01	125.01	47.01	19.01	226.01	116.01	91.01	4.01	4.01	217.01	0	10.02	143.01	115.113	0	257.905	16.01	17.01	0	0	718.01	0	147.01	0	197.01	125.01	300.592	155.043	102.01	576.01	0	0	1.01	86.1523	0	0	49.01	17.01
ENSRNOG00000021007	25.01	0	0	47.01	0	0	0	91.01	5.01	269.01	43.01	81.01	0	33.01	125.01	0	0	0	6.01	36.01	0	0	0	32.01	192.01	30.01	0	0	206.01	0	0	0	0	0	0	0	0	0	0	130.01
ENSRNOG00000014946	127.01	0	0	236.112	0	176.426	98.0324	75.3353	1.01	11.7485	0	107.205	190.525	25.6593	0	261.114	1.01	0	17.01	0	0	5.06573	0	0	0	434.39	0	0	432.278	0	131.501	0	0	0	253.249	0	2.01	0	70.3057	0
ENSRNOG00000019278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000023453	0	0	0	0	0	0	68.01	0	180.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.01	0	0	210.035	0	0	0	0	0	0	45.01	0	0	0	0	0	0
ENSRNOG00000016623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291.097	0	0	0
ENSRNOG00000025496	1.01	70.01	19.01	63.4949	44.01	0	0	52.01	105.01	0	9.01	26.01	0	41.01	99.01	132.01	68.01	0	1.01	0	0	0	293.01	76.1221	168.01	128.01	78.0395	209.01	0	0	55.01	0	0	32.01	52.01	51.01	0	0	38.01	48.01
ENSRNOG00000018342	0	0	0	0	41.01	0	0	0	0	15.01	7.01	0	110.01	17.01	0	0	0	0	0	0	0	0	0	14.01	1.01	0	0	0	0	72.2076	0	0	0	0	0	0	0	0	0	1.01
ENSRNOG00000020213	0	0	0	77.01	97.01	0	0	109.01	222.013	2.01	23.01	139.652	0	0	312.01	138.01	510.01	0	20.01	110.01	0	0	444.01	125.613	0	365.01	0	0	0	438.827	0	157.01	1.01	0	0	0	0	0	0	340.01
ENSRNOG00000011618	0	0	0	0	0	0	0	0	0	0	0	33.01	7.42391	0	77.01	0	2.01349	10.6147	17.01	0	0	0	0	135.01	0	175.345	274.348	0	0	1.13278	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000020929	1.01	47.01	0	229.578	59.01	0	295.01	137.01	0	0	128.01	68.01	50.01	78.0605	0	108.01	491.01	0	39.01	67.01	0	0	0	0	0	289.854	30.01	0	0	0	0	688.522	0	41.01	321.48	64.01	184.34	0	1.01	0
ENSRNOG00000000921	128.01	113.01	1.01	38.01	0	0	23.01	192.01	386.236	0	8.01	108.01	0	112.01	0	0	0	11.01	0	0	0	128.01	68.01	0	275.01	0	0	0	175.01	116.01	0	175.01	63.1303	1.01	0	32.01	31.01	611.01	4.01	138.859
