gene	21373_3_39	21373_3_72	21373_3_77	21373_3_78	21373_3_91	21373_3_92	21373_3_96	21373_3_104	21373_3_109	21373_3_110	21373_3_117	21373_3_128	21373_3_133	21373_3_142	21373_3_155	21373_3_156	21373_3_179	21373_3_205	21373_3_229	21373_3_230	21373_3_242	21373_3_259	21373_3_260	21373_3_266	21373_3_291	21373_3_292	21373_3_298	21373_3_305	21373_3_315	21373_3_316	21373_3_322	21373_3_330	21373_3_372
ENSRNOG00000033913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02318	0	0	0	0	0	0	0	0
ENSRNOG00000060605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.01	9.01	21.0452	0	0	0	0	0	0	0	0
ENSRNOG00000007782	0	0	0	0	0	0	0	0	0	0	0	0	1.90673	0	0	0	0	0	14.01	5.75839	0	3.10476	0	0	15.5454	0	0	0	19.5933	0	4.74974	0	0
ENSRNOG00000015242	0	0	0	0	137.01	0	0	0	0	0	0	0	0	0	0	0	0	0	234.01	1.02501	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000017523	0	82.01	0	0	0	0	0	0	0	0	0	18.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000036835	571.01	233.01	658.01	61.01	514.01	164.469	97.01	327.73	263.01	422.01	1.01	145.01	285.582	0	601.01	396.01	442.285	345.209	346.01	367.01	140.01	733.616	169.01	170.01	672.407	976.514	920.538	345.01	492.01	209.01	235.01	305.01	231.01
ENSRNOG00000001687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000003815	413.01	81.01	208.01	107.01	186.01	158.01	29.01	242.387	124.01	70.01	368.01	78.01	69.01	0	242.01	88.01	256.344	538.997	449.01	100.01	205.01	145.01	273.01	82.01	438.01	465.01	71.01	341.01	166.01	57.01	99.01	72.01	83.01
ENSRNOG00000042070	75.01	0	0	0	0	0	0	1.01	0	37.01	0	0	0	6.48655	0	0	0	0	4.02022	0	7.01	0	42.01	4.01	0	0	4.07044	0	0	0	0	2.01	0
ENSRNOG00000022482	161.01	89.01	293.01	6.01	0	24.01	54.01	0	13.01	104.01	0	13.01	0	0	0	0	0	0	0	0	0	70.01	71.0546	38.01	0	0	0	0	0	0	18.01	0	46.01
ENSRNOG00000040108	0	0	0	0	0	0	0	1.01128	0	0	0	0	0	0	0	0	0	3.05993	0	0	0	256.513	4.88423	1.01	0	0	0	0	0	0	0	0	0
