index	gene	class	divergence
959	ENSMUSG00000062232	a_all	0.845109271645328
960	ENSMUSG00000062232	b_DE	0.845109271645328
961	ENSMUSG00000042901	a_all	0.090193118540194
962	ENSMUSG00000042901	b_DE	0.090193118540194
963	ENSMUSG00000015755	a_all	-0.100661857485392
964	ENSMUSG00000015755	b_DE	-0.100661857485392
965	ENSMUSG00000028654	a_all	2.07821657920905
966	ENSMUSG00000028654	b_DE	2.07821657920905
967	ENSMUSG00000027330	a_all	1.66790422847539
968	ENSMUSG00000027330	b_DE	1.66790422847539
969	ENSMUSG00000024330	a_all	1.69424557295702
970	ENSMUSG00000024330	b_DE	1.69424557295702
971	ENSMUSG00000025161	a_all	1.95294336848432
972	ENSMUSG00000025161	b_DE	1.95294336848432
973	ENSMUSG00000028559	a_all	0.919067035578847
974	ENSMUSG00000028559	b_DE	0.919067035578847
975	ENSMUSG00000023990	a_all	0.39054857127951
976	ENSMUSG00000023990	b_DE	0.39054857127951
977	ENSMUSG00000026469	a_all	-0.501728017738041
978	ENSMUSG00000026469	b_DE	-0.501728017738041
